freq [Hz];L [dB];
1085000000;-52,902183532714844;
1085600000;-53,350433349609375;
1086200000;-53,628795623779297;
1086800000;-53,112335205078125;
1087400000;-53,403709411621094;
1088000000;-53,308021545410156;
1088600000;-53,187564849853516;
1089200000;-53,549591064453125;
1089800000;-52,873821258544922;
1090400000;-53,398998260498047;
1091000000;-53,016441345214844;
1091600000;-52,799713134765625;
1092200000;-52,869022369384766;
1092800000;-52,957260131835937;
1093400000;-53,223281860351563;
1094000000;-52,673862457275391;
1094600000;-52,683891296386719;
1095200000;-52,880126953125;
1095800000;-52,692893981933594;
1096400000;-52,728420257568359;
1097000000;-52,392223358154297;
1097600000;-52,432937622070312;
1098200000;-52,362133026123047;
1098800000;-52,157253265380859;
1099400000;-52,481128692626953;
1100000000;-51,979843139648437;
